dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,352,0.5699779987335205
MNIST,medium,43,10,a1,output_weight_norm,baseline,353,1.0863111019134521
MNIST,medium,43,10,a1,output_weight_norm,baseline,354,1.0594916343688965
MNIST,medium,43,10,a1,output_weight_norm,baseline,355,0.9195603132247925
MNIST,medium,43,10,a1,output_weight_norm,baseline,356,1.0457127094268799
MNIST,medium,43,10,a1,output_weight_norm,baseline,357,0.9466133117675781
MNIST,medium,43,10,a1,output_weight_norm,baseline,358,0.8324137330055237
MNIST,medium,43,10,a1,output_weight_norm,baseline,359,1.3702669143676758
MNIST,medium,43,10,a1,output_weight_norm,baseline,360,1.1087253093719482
MNIST,medium,43,10,a1,output_weight_norm,baseline,361,1.2630399465560913
MNIST,medium,43,10,a1,output_weight_norm,baseline,362,1.209916353225708
MNIST,medium,43,10,a1,output_weight_norm,baseline,363,0.9519298076629639
